open_ms,open,high,low,close
1777392163000,76042.14,76042.14,76042.14,76042.14
1777392164000,76042.14,76042.15,76042.14,76042.15
1777392165000,76042.15,76042.15,76042.15,76042.15
1777392166000,76042.14,76042.15,76042.14,76042.15
1777392167000,76042.15,76042.15,76042.15,76042.15
1777392168000,76042.15,76042.15,76042.14,76042.14
1777392169000,76042.14,76042.14,76042.14,76042.14
1777392170000,76042.14,76042.14,76038,76038.01
1777392171000,76038.01,76038.01,76038,76038
1777392172000,76038,76038,76038,76038
1777392173000,76038.01,76038.01,76038,76038.01
1777392174000,76038,76038,76036.07,76036.07
1777392175000,76036.06,76036.06,76036.05,76036.05
1777392176000,76036.05,76036.05,76036.05,76036.05
1777392177000,76036.05,76036.06,76036.05,76036.06
1777392178000,76036.06,76036.06,76036.05,76036.05
1777392179000,76036.05,76036.05,76032.16,76032.16
1777392180000,76032.11,76032.12,76032.11,76032.12
1777392181000,76032.11,76032.11,76029.53,76029.53
1777392182000,76029.54,76029.54,76029.54,76029.54
1777392183000,76029.54,76033.56,76029.54,76033.56
1777392184000,76033.55,76033.56,76033.55,76033.55
1777392185000,76033.56,76041.8,76033.55,76041.8
1777392186000,76041.81,76041.81,76041.8,76041.8
1777392187000,76041.81,76041.81,76041.81,76041.81
1777392188000,76041.8,76041.8,76041.8,76041.8
1777392189000,76041.81,76041.81,76041.8,76041.8
1777392190000,76041.81,76041.81,76041.8,76041.8
1777392191000,76041.81,76041.81,76041.8,76041.81
1777392192000,76041.8,76041.81,76041.8,76041.8
1777392193000,76041.8,76041.81,76041.8,76041.8
1777392194000,76041.81,76041.81,76041.81,76041.81
1777392195000,76041.8,76041.81,76041.8,76041.81
1777392196000,76041.81,76041.81,76041.81,76041.81
1777392197000,76041.81,76041.81,76041.8,76041.8
1777392198000,76041.81,76041.81,76041.8,76041.8
1777392199000,76041.81,76041.81,76041.81,76041.81
1777392200000,76041.81,76041.81,76041.81,76041.81
1777392201000,76041.81,76041.81,76041.8,76041.81
1777392202000,76041.81,76041.81,76035.6,76035.61
1777392203000,76035.6,76035.6,76035.6,76035.6
1777392204000,76035.61,76035.61,76035.61,76035.61
1777392205000,76035.61,76035.61,76035.61,76035.61
1777392206000,76035.61,76035.61,76035.6,76035.61
1777392207000,76035.61,76035.61,76035.61,76035.61
1777392208000,76035.6,76035.61,76035.6,76035.61
1777392209000,76035.61,76035.61,76035.61,76035.61
1777392210000,76035.61,76035.61,76035.6,76035.6
1777392211000,76035.61,76035.61,76035.6,76035.61
1777392212000,76035.61,76035.61,76035.61,76035.61
1777392213000,76035.61,76035.61,76035.6,76035.61
1777392214000,76035.61,76045.62,76035.61,76045.62
1777392215000,76045.62,76045.62,76045.61,76045.62
1777392216000,76045.62,76045.62,76045.62,76045.62
1777392217000,76045.61,76045.61,76045.61,76045.61
1777392218000,76045.62,76045.62,76045.61,76045.61
1777392219000,76045.61,76045.61,76038.46,76038.46
1777392220000,76038.47,76045.61,76038.46,76045.61
1777392221000,76045.61,76045.61,76045.61,76045.61
1777392222000,76045.62,76045.62,76045.62,76045.62
1777392223000,76045.62,76049.76,76045.62,76049.75
1777392224000,76049.76,76049.76,76049.75,76049.76
1777392225000,76049.76,76049.76,76049.75,76049.76
1777392226000,76049.76,76053.56,76049.76,76053.56
1777392227000,76053.56,76053.57,76053.56,76053.56
1777392228000,76053.57,76064.98,76053.57,76064.97
1777392229000,76064.98,76064.98,76064.98,76064.98
1777392230000,76064.97,76064.98,76064.97,76064.98
1777392231000,76064.98,76064.98,76064.98,76064.98
1777392232000,76064.98,76064.98,76064.98,76064.98
1777392233000,76064.97,76064.97,76064.97,76064.97
1777392234000,76064.97,76064.97,76064.97,76064.97
1777392235000,76064.97,76064.97,76064.59,76064.59
1777392236000,76064.59,76089.44,76064.59,76089.44
1777392237000,76090,76090,76089.95,76089.95
1777392238000,76089.95,76089.95,76080.71,76080.71
1777392239000,76080.72,76080.72,76076.51,76076.51
1777392240000,76076.51,76076.52,76076.51,76076.52
1777392241000,76076.51,76076.52,76076.51,76076.51
1777392242000,76076.52,76076.52,76076.51,76076.51
1777392243000,76076.51,76076.52,76076.51,76076.52
1777392244000,76076.51,76076.52,76076.51,76076.51
1777392245000,76076.52,76076.52,76076.51,76076.51
1777392246000,76076.51,76076.51,76076.41,76076.41
1777392247000,76076.41,76076.42,76076.41,76076.41
1777392248000,76076.41,76076.42,76076.41,76076.42
1777392249000,76076.41,76076.42,76069.47,76069.47
1777392250000,76069.46,76069.47,76067.84,76067.84
1777392251000,76067.84,76067.84,76062.66,76062.66
1777392252000,76062.66,76062.66,76062.66,76062.66
1777392253000,76062.66,76062.66,76062.65,76062.66
1777392254000,76062.65,76062.66,76062.65,76062.66
1777392255000,76062.65,76062.66,76062.65,76062.66
1777392256000,76062.66,76062.66,76062.65,76062.66
1777392257000,76062.66,76062.66,76062.65,76062.66
1777392258000,76062.66,76062.66,76062.65,76062.66
1777392259000,76062.66,76062.66,76062.65,76062.66
1777392260000,76062.66,76062.66,76062.66,76062.66
1777392261000,76062.66,76062.66,76062.66,76062.66
1777392262000,76062.66,76062.66,76062.65,76062.65
1777392263000,76062.65,76062.66,76062.65,76062.66
1777392264000,76062.66,76068.98,76062.66,76068.98
1777392265000,76068.97,76068.97,76068.97,76068.97
1777392266000,76068.97,76068.97,76063.21,76063.23
1777392267000,76063.23,76063.24,76063.23,76063.24
1777392268000,76063.24,76063.24,76063.24,76063.24
1777392269000,76063.24,76063.24,76063.23,76063.23
1777392270000,76063.24,76066.07,76063.24,76066.07
1777392271000,76066.07,76074.27,76066.07,76074.27
1777392272000,76074.26,76074.27,76074.26,76074.27
1777392273000,76074.26,76074.26,76074.26,76074.26
1777392274000,76074.27,76074.27,76074.26,76074.26
1777392275000,76074.26,76074.27,76074.26,76074.27
1777392276000,76074.27,76077.18,76074.27,76077.18
1777392277000,76077.18,76077.18,76077.18,76077.18
1777392278000,76077.18,76077.19,76077.18,76077.19
1777392279000,76077.19,76077.19,76077.19,76077.19
1777392280000,76077.18,76077.18,76077.18,76077.18
1777392281000,76077.19,76077.19,76077.19,76077.19
1777392282000,76077.19,76077.19,76077.18,76077.18
1777392283000,76077.19,76077.19,76077.19,76077.19
1777392284000,76077.19,76077.19,76077.18,76077.18
1777392285000,76077.18,76077.18,76077.18,76077.18
1777392286000,76077.19,76077.19,76077.18,76077.18
1777392287000,76077.18,76077.18,76077.18,76077.18
1777392288000,76077.18,76077.18,76077.18,76077.18
1777392289000,76077.19,76077.19,76063.24,76063.24
1777392290000,76063.24,76063.24,76063.23,76063.23
1777392291000,76063.24,76069.51,76063.24,76069.51
1777392292000,76070.8,76071.68,76070.8,76071.68
1777392293000,76071.68,76071.68,76071.67,76071.67
1777392294000,76071.68,76071.68,76071.67,76071.67
1777392295000,76071.68,76071.68,76071.67,76071.68
1777392296000,76071.68,76071.68,76071.67,76071.67
1777392297000,76071.68,76071.68,76071.68,76071.68
1777392298000,76071.67,76071.67,76063.91,76063.91
1777392299000,76063.91,76063.92,76063.91,76063.92
1777392300000,76063.91,76063.91,76063.91,76063.91
1777392301000,76063.91,76063.91,76063.91,76063.91
1777392302000,76063.92,76063.92,76063.91,76063.92
1777392303000,76063.92,76063.92,76063.92,76063.92
1777392304000,76063.91,76063.92,76063.91,76063.92
1777392305000,76063.92,76063.92,76063.92,76063.92
1777392306000,76063.92,76063.92,76063.92,76063.92
1777392307000,76063.91,76063.92,76063.91,76063.92
1777392308000,76063.91,76063.91,76041.98,76041.98
1777392309000,76041.99,76041.99,76041.98,76041.98
1777392310000,76041.98,76041.99,76037.42,76037.42
1777392311000,76037.41,76037.42,76037.41,76037.42
1777392312000,76037.42,76037.42,76037.42,76037.42
1777392313000,76037.42,76037.42,76037.42,76037.42
1777392314000,76037.42,76037.42,76037.42,76037.42
1777392315000,76037.42,76037.42,76035.75,76035.75
1777392316000,76035.74,76035.74,76031.73,76031.73
1777392317000,76031.72,76031.72,76031.72,76031.72
1777392318000,76031.72,76031.72,76031.72,76031.72
1777392319000,76031.72,76031.73,76031.72,76031.72
1777392320000,76031.72,76031.72,76031.72,76031.72
1777392321000,76031.73,76031.73,76031.72,76031.73
1777392322000,76031.72,76031.72,76031.72,76031.72
1777392323000,76031.73,76031.73,76031.72,76031.72
1777392324000,76031.73,76031.73,76031.73,76031.73
1777392325000,76031.72,76031.73,76031.72,76031.73
1777392326000,76031.73,76031.73,76031.72,76031.73
1777392327000,76031.73,76033.55,76031.73,76033.55
1777392328000,76033.55,76033.56,76033.55,76033.56
1777392329000,76033.56,76033.56,76033.56,76033.56
1777392330000,76033.56,76033.56,76033.56,76033.56
1777392331000,76033.56,76033.56,76033.56,76033.56
1777392332000,76033.56,76033.56,76033.55,76033.55
1777392333000,76033.56,76038.62,76033.56,76038.62
1777392334000,76038.62,76038.62,76038.62,76038.62
1777392335000,76038.62,76040.48,76038.62,76040.48
1777392336000,76040.53,76040.53,76040.53,76040.53
1777392337000,76040.53,76040.53,76040.53,76040.53
1777392338000,76040.53,76040.53,76040.53,76040.53
1777392339000,76040.53,76040.53,76040.53,76040.53
1777392340000,76040.53,76040.53,76040.52,76040.53
1777392341000,76040.53,76040.53,76040.52,76040.52
1777392342000,76040.52,76040.53,76040.52,76040.53
1777392343000,76040.53,76040.53,76040.52,76040.52
1777392344000,76040.53,76044.32,76040.52,76044.32
1777392345000,76044.33,76044.33,76044.32,76044.33
1777392346000,76044.32,76044.33,76044.32,76044.33
1777392347000,76044.33,76044.33,76044.33,76044.33
1777392348000,76044.32,76044.33,76044.32,76044.33
1777392349000,76044.32,76044.33,76044.32,76044.33
1777392350000,76044.33,76044.33,76044.32,76044.32
1777392351000,76044.32,76044.32,76044.32,76044.32
1777392352000,76044.32,76044.32,76040.54,76040.54
1777392353000,76040.54,76040.54,76040.54,76040.54
1777392354000,76040.53,76040.54,76040.53,76040.54
1777392355000,76040.53,76040.54,76040.53,76040.53
1777392356000,76040.53,76040.53,76040.53,76040.53
1777392357000,76040.54,76040.54,76040.54,76040.54
1777392358000,76040.54,76040.54,76040.54,76040.54
1777392359000,76040.54,76040.54,76031.73,76031.73
1777392360000,76031.73,76031.73,76031.73,76031.73
1777392361000,76031.72,76031.72,76031.72,76031.72
1777392362000,76031.73,76031.73,76031.73,76031.73
1777392363000,76031.72,76031.72,76031.72,76031.72
1777392364000,76031.73,76036.68,76031.73,76036.68
1777392365000,76036.69,76040.77,76036.69,76040.77
